Code,Name,Target_Asli,Prediksi_Model
KBLV,First Media Tbk.,100.0,731.8449
KBRI,Kertas Basuki Rachmat Indonesi,50.0,442.87207
KDSI,Kedawung Setia Industrial Tbk.,1065.0,1003.4241
KEEN,Kencana Energi Lestari Tbk.,600.0,519.86676
KEJU,Mulia Boga Raya Tbk.,1400.0,541.9234
KIAS,Keramika Indonesia Assosiasi T,50.0,1076.2355
KICI,Kedaung Indah Can Tbk,200.0,1214.814
KIJA,Kawasan Industri Jababeka Tbk.,145.0,1085.6776
KINO,Kino Indonesia Tbk.,1540.0,419.6735
KIOS,Kioson Komersial Indonesia Tbk,141.0,456.58124
KJEN,Krida Jaringan Nusantara Tbk.,151.0,497.1105
KKES,Kusuma Kemindo Sentosa Tbk.,108.0,594.8488
KKGI,Resource Alam Indonesia Tbk.,396.0,1364.9943
KLBF,Kalbe Farma Tbk.,2050.0,1448.9563
KLIN,Klinko Karya Imaji Tbk.,31.0,530.14923
KMDS,Kurniamitra Duta Sentosa Tbk.,565.0,563.8288
KMTR,Kirana Megatara Tbk.,266.0,446.8713
KOBX,Kobexindo Tractors Tbk.,336.0,336.9546
KOIN,Kokoh Inti Arebama Tbk,138.0,407.39655
KONI,Perdana Bangun Pusaka Tbk,2960.0,1039.6782
KOPI,Mitra Energi Persada Tbk.,545.0,381.2664
KOTA,DMS Propertindo Tbk.,50.0,485.48212
KPAL,Steadfast Marine Tbk.,50.0,529.5942
KPAS,Cottonindo Ariesta Tbk.,62.0,545.4749
KPIG,MNC Land Tbk.,69.0,675.50275
KRAH,Grand Kartech Tbk.,436.0,425.48657
KRAS,Krakatau Steel (Persero) Tbk.,310.0,396.55005
KREN,Kresna Graha Investama Tbk.,50.0,528.54663
KRYA,Bangun Karya Perkasa Jaya Tbk.,418.0,591.0734
KUAS,Ace Oldfields Tbk.,56.0,580.1623
LABA,Ladangbaja Murni Tbk.,99.0,570.31354
LAND,Trimitra Propertindo Tbk.,50.0,454.68604
LAPD,Leyand International Tbk.,50.0,393.3001
LCGP,Eureka Prima Jakarta Tbk.,114.0,403.11194
LCKM,LCK Global Kedaton Tbk.,302.0,462.43726
LEAD,Logindo Samudramakmur Tbk.,59.0,340.6031
LFLO,Imago Mulia Persada Tbk.,55.0,498.70123
LIFE,Asuransi Jiwa Sinarmas MSIG Tb,5175.0,547.44415
LINK,Link Net Tbk.,2500.0,355.4688
LION,Lion Metal Works Tbk.,735.0,1203.1085
LMAS,Limas Indonesia Makmur Tbk,50.0,538.4998
LMPI,Langgeng Makmur Industri Tbk.,114.0,1122.6942
LMSH,Lionmesh Prima Tbk.,620.0,1436.9645
LPCK,Lippo Cikarang Tbk,960.0,922.1149
LPGI,Lippo General Insurance Tbk.,5900.0,970.629
LPIN,Multi Prima Sejahtera Tbk,390.0,1454.4015
LPKR,Lippo Karawaci Tbk.,77.0,941.3042
LPLI,Star Pacific Tbk,272.0,1443.58
LPPF,Matahari Department Store Tbk.,4220.0,1515.1901
LPPS,Lenox Pasifik Investama Tbk.,82.0,1178.9448
LRNA,Eka Sari Lorena Transport Tbk.,181.0,330.07706
LSIP,PP London Sumatra Indonesia Tb,1015.0,1053.6329
LTLS,Lautan Luas Tbk.,1320.0,958.90717
LUCK,Sentral Mitra Informatika Tbk.,122.0,493.35666
LUCY,Lima Dua Lima Tiga Tbk.,185.0,500.89453
MABA,Marga Abhinaya Abadi Tbk.,50.0,550.3957
MAGP,Multi Agro Gemilang Plantation,50.0,347.24377
MAIN,Malindo Feedmill Tbk.,482.0,546.93976
MAMI,Mas Murni Indonesia Tbk,50.0,655.89844
MAPA,Map Aktif Adiperkasa Tbk.,3650.0,498.7281
MAPB,MAP Boga Adiperkasa Tbk.,1835.0,460.7068
MAPI,Mitra Adiperkasa Tbk.,1300.0,579.05035
MARI,Mahaka Radio Integra Tbk.,126.0,413.8295
MARK,Mark Dynamics Indonesia Tbk.,625.0,456.82294
MASA,Multistrada Arah Sarana Tbk.,2210.0,570.64075
MASB,Bank Multiarta Sentosa Tbk.,3480.0,594.0413
MAYA,Bank Mayapada Internasional Tb,515.0,961.3343
MBAP,Mitrabara Adiperdana Tbk.,6975.0,361.2443
MBSS,Mitrabahtera Segara Sejati Tbk,1190.0,381.4884
MBTO,Martina Berto Tbk.,138.0,432.2583
MCAS,M Cash Integrasi Tbk.,7700.0,463.96356
MCOL,Prima Andalan Mandiri Tbk.,6850.0,599.10205
MCOR,Bank China Construction Bank I,81.0,480.96606
MDIA,Intermedia Capital Tbk.,50.0,350.8459
MDKA,Merdeka Copper Gold Tbk.,4290.0,472.4652
MDKI,Emdeki Utama Tbk.,183.0,460.06754
MDLN,Modernland Realty Tbk.,77.0,1230.5101
MDRN,Modern Internasional Tbk.,50.0,1344.7589
MEDC,Medco Energi Internasional Tbk,1035.0,1152.2705
MEDS,Hetzer Medical Indonesia Tbk.,131.0,598.5978
MEGA,Bank Mega Tbk.,5525.0,862.98346
MERK,Merck Tbk.,4700.0,2030.3123
META,Nusantara Infrastructure Tbk.,119.0,649.86884
MFIN,Mandala Multifinance Tbk.,1645.0,537.0409
MFMI,Multifiling Mitra Indonesia Tb,795.0,345.91107
MGLV,Panca Anugrah Wisesa Tbk.,58.0,503.07422
MGNA,Magna Investama Mandiri Tbk.,50.0,531.8133
MGRO,Mahkota Group Tbk.,790.0,502.4679
MICE,Multi Indocitra Tbk.,496.0,495.0542
MIDI,Midi Utama Indonesia Tbk.,2910.0,424.65546
MIKA,Mitra Keluarga Karyasehat Tbk.,2850.0,411.01086
MINA,Sanurhasta Mitra Tbk.,77.0,452.16553
MIRA,Mitra International Resources ,50.0,912.7817
MITI,Mitra Investindo Tbk.,159.0,915.56476
MKNT,Mitra Komunikasi Nusantara Tbk,50.0,404.18793
MKPI,Metropolitan Kentjana Tbk.,37850.0,423.05054
MLBI,Multi Bintang Indonesia Tbk.,8950.0,2102.8816
MLIA,Mulia Industrindo Tbk,520.0,1150.8333
MLPL,Multipolar Tbk.,112.0,1458.8947
MLPT,Multipolar Technology Tbk.,1985.0,327.43314
MMLP,Mega Manunggal Property Tbk.,474.0,353.51068
MNCN,Media Nusantara Citra Tbk.,725.0,496.1324
MOLI,Madusari Murni Indah Tbk.,214.0,485.38123
MORA,Mora Telematika Indonesia Tbk.,496.0,599.3909
MPMX,Mitra Pinasthika Mustika Tbk.,1170.0,358.3921
MPOW,Megapower Makmur Tbk.,81.0,445.18546
MPPA,Matahari Putra Prima Tbk.,123.0,1293.1764
MPRO,Maha Properti Indonesia Tbk.,1500.0,468.35248
MRAT,Mustika Ratu Tbk.,655.0,1115.3883
MREI,Maskapai Reasuransi Indonesia ,4700.0,1505.7474
MSIN,MNC Digital Entertainment Tbk.,4810.0,532.804
MSKY,MNC Sky Vision Tbk.,216.0,369.51202
MTDL,Metrodata Electronics Tbk.,545.0,1385.7838
MTEL,Dayamitra Telekomunikasi Tbk.,705.0,603.4603
MTFN,Capitalinc Investment Tbk.,50.0,1402.4081
MTLA,Metropolitan Land Tbk.,376.0,322.29865
MTMH,Murni Sadar Tbk.,1400.0,598.51117
MTPS,Meta Epsi Tbk.,85.0,501.4856
MTRA,Mitra Pemuda Tbk.,244.0,524.8935
MTSM,Metro Realty Tbk.,162.0,1288.2101
MTWI,Malacca Trust Wuwungan Insuran,97.0,478.4013
MYOH,Samindo Resources Tbk.,1580.0,729.6967
MYOR,Mayora Indah Tbk.,2460.0,1536.9196
MYRX,Hanson International Tbk.,50.0,206.45813
MYTX,Asia Pacific Investama Tbk.,52.0,1494.2415
NANO,Nanotech Indonesia Global Tbk.,27.0,525.43915
NASA,Andalan Perkasa Abadi Tbk.,50.0,459.91443
NASI,Wahana Inti Makmur Tbk.,94.0,596.4469
NATO,Surya Permata Andalan Tbk.,484.0,509.68143
NELY,Pelayaran Nelly Dwi Putri Tbk.,296.0,283.21222
NETV,Net Visi Media Tbk.,220.0,592.288
NFCX,NFC Indonesia Tbk.,6675.0,484.51758
NICK,Charnic Capital Tbk.,167.0,496.3183
NICL,PAM Mineral Tbk.,180.0,569.3024
NIKL,Pelat Timah Nusantara Tbk.,630.0,425.5629
NIRO,City Retail Developments Tbk.,142.0,263.17737
NISP,Bank OCBC NISP Tbk.,730.0,1169.3857
NOBU,Bank Nationalnobu Tbk.,545.0,379.83118
NPGF,Nusa Palapa Gemilang Tbk.,50.0,567.96545
NRCA,Nusa Raya Cipta Tbk.,294.0,328.3751
NTBK,Nusatama Berkah Tbk.,50.0,586.181
NUSA,Sinergi Megah Internusa Tbk.,50.0,534.1964
NZIA,Nusantara Almazia Tbk.,262.0,494.5678
OASA,Protech Mitra Perkasa Tbk.,730.0,414.5512
OBMD,OBM Drilchem Tbk.,177.0,580.8354
OCAP,Onix Capital Tbk.,159.0,418.73868
OILS,Indo Oil Perkasa Tbk.,218.0,590.0424
OKAS,Ancora Indonesia Resources Tbk,101.0,481.94864
OLIV,Oscar Mitra Sukses Sejahtera T,25.0,524.6998
OMRE,Indonesia Prima Property Tbk,575.0,1103.6134
OPMS,Optima Prima Metal Sinergi Tbk,84.0,519.5749
PADI,Minna Padi Investama Sekuritas,50.0,399.79272
PALM,Provident Agro Tbk.,650.0,368.70898
PAMG,Bima Sakti Pertiwi Tbk.,68.0,486.8455
PANI,Pratama Abadi Nusa Industri Tb,990.0,502.89062
PANR,Panorama Sentrawisata Tbk.,535.0,664.4954
PANS,Panin Sekuritas Tbk.,1825.0,769.0304
PBID,Panca Budi Idaman Tbk.,1575.0,469.0782
PBRX,Pan Brothers Tbk.,100.0,1435.8971
PBSA,Paramita Bangun Sarana Tbk.,298.0,425.2268
PCAR,Prima Cakrawala Abadi Tbk.,81.0,479.3797
PDES,Destinasi Tirta Nusantara Tbk,306.0,435.8834
PEGE,Panca Global Kapital Tbk.,434.0,534.46014
PEHA,Phapros Tbk.,680.0,504.35095
PGAS,Perusahaan Gas Negara Tbk.,1585.0,608.5915
PGJO,Tourindo Guide Indonesia Tbk.,76.0,453.42175
PGLI,Pembangunan Graha Lestari Inda,268.0,737.5476
PGUN,Pradiksi Gunatama Tbk.,950.0,566.066
PICO,Pelangi Indah Canindo Tbk,224.0,992.00775
PJAA,Pembangunan Jaya Ancol Tbk.,695.0,556.94073
PKPK,Perdana Karya Perkasa Tbk,280.0,437.61444
PLAN,Planet Properindo Jaya Tbk.,28.0,483.9749
PLAS,Polaris Investama Tbk,50.0,688.263
PLIN,Plaza Indonesia Realty Tbk.,2250.0,1291.1299
PMJS,Putra Mandiri Jembar Tbk.,156.0,536.1514
PMMP,Panca Mitra Multiperdana Tbk.,370.0,575.64703
PNBN,Bank Pan Indonesia Tbk,1255.0,2021.2218
PNBS,Bank Panin Dubai Syariah Tbk.,64.0,354.7665
PNGO,Pinago Utama Tbk.,1295.0,548.36237
PNIN,Paninvest Tbk.,1185.0,1949.385
PNLF,Panin Financial Tbk.,310.0,1951.3722
PNSE,Pudjiadi & Sons Tbk.,418.0,1436.1447
POLA,Pool Advista Finance Tbk.,67.0,513.2345
POLI,Pollux Hotels Group Tbk.,790.0,468.28775
POLL,Pollux Properties Indonesia Tb,202.0,455.0975
POLU,Golden Flower Tbk.,322.0,522.6954
POLY,Asia Pacific Fibers Tbk,53.0,1375.3102
POOL,Pool Advista Indonesia Tbk.,50.0,800.95685
PORT,Nusantara Pelabuhan Handal Tbk,915.0,436.8717
POSA,Bliss Properti Indonesia Tbk.,50.0,511.58893
POWR,Cikarang Listrindo Tbk.,655.0,415.55954
PPGL,Prima Globalindo Logistik Tbk.,130.0,454.05438
PPRE,PP Presisi Tbk.,120.0,460.72028
PPRO,PP Properti Tbk.,50.0,339.4806
PRAS,Prima Alloy Steel Universal Tb,130.0,1446.9103
PRDA,Prodia Widyahusada Tbk.,5375.0,441.9475
PRIM,Royal Prima Tbk.,177.0,479.48688
PSAB,J Resources Asia Pasifik Tbk.,112.0,541.0896
PSDN,Prasidha Aneka Niaga Tbk,80.0,1146.1866
PSGO,Palma Serasih Tbk.,156.0,538.2212
PSKT,Red Planet Indonesia Tbk.,65.0,1050.2792
PSSI,Pelita Samudera Shipping Tbk.,595.0,469.78436
PTBA,Bukit Asam Tbk.,3430.0,647.28436
PTDU,Djasa Ubersakti Tbk.,54.0,551.3301
PTIS,Indo Straits Tbk.,540.0,372.57904
PTPP,PP (Persero) Tbk.,695.0,403.0775
PTPW,Pratama Widya Tbk.,875.0,528.8318
PTRO,Petrosea Tbk.,4190.0,1450.3092
PTSN,Sat Nusapersada Tbk,187.0,385.07434
PTSP,Pioneerindo Gourmet Internatio,3400.0,1151.3783
PUDP,Pudjiadi Prestige Tbk.,352.0,1109.139
PURA,Putra Rajawali Kencana Tbk.,50.0,513.79034
PURE,Trinitan Metals and Minerals T,51.0,529.91296
PURI,Puri Global Sukses Tbk.,238.0,518.5706
PWON,Pakuwon Jati Tbk.,448.0,1460.0642
PYFA,Pyridam Farma Tbk,855.0,607.6298
PZZA,Sarimelati Kencana Tbk.,530.0,492.6399
RAFI,Sari Kreasi Boga Tbk.,124.0,605.14825
RAJA,Rukun Raharja Tbk.,1035.0,498.81354
RALS,Ramayana Lestari Sentosa Tbk.,640.0,1345.1017
RANC,Supra Boga Lestari Tbk.,795.0,401.86813
RBMS,Ristia Bintang Mahkotasejati T,50.0,889.8651
RCCC,Utama Radar Cahaya Tbk.,130.0,504.05322
RDTX,Roda Vivatex Tbk,10000.0,1431.8737
REAL,Repower Asia Indonesia Tbk.,50.0,495.10117
RELI,Reliance Sekuritas Indonesia T,550.0,560.9026
RICY,Ricky Putra Globalindo Tbk,81.0,915.5733
RIGS,Rig Tenders Indonesia Tbk.,494.0,1436.4017
RIMO,Rimo International Lestari Tbk,50.0,312.98602
RISE,Jaya Sukses Makmur Sentosa Tbk,975.0,497.2243
RMBA,Bentoel Internasional Investam,306.0,1202.8478
RMKE,RMK Energy Tbk.,930.0,589.44293
ROCK,Rockfields Properti Indonesia ,294.0,518.74603
RODA,Pikko Land Development Tbk.,54.0,595.141
RONY,Aesler Grup Internasional Tbk.,800.0,543.36224
ROTI,Nippon Indosari Corpindo Tbk.,1300.0,475.15848
RSGK,Kedoya Adyaraya Tbk.,1090.0,583.52466
RUIS,Radiant Utama Interinsco Tbk.,308.0,605.75433
RUNS,Global Sukses Solusi Tbk.,162.0,499.1423
SAFE,Steady Safe Tbk,220.0,1089.1875
SAME,Sarana Meditama Metropolitan T,286.0,308.80292
SAMF,Saraswanti Anugerah Makmur Tbk,416.0,541.2594
SAPX,Satria Antaran Prima Tbk.,815.0,473.69714
SATU,Kota Satu Properti Tbk.,69.0,461.50848
SBAT,Sejahtera Bintang Abadi Textil,50.0,546.8536
SBMA,Surya Biru Murni Acetylene Tbk,202.0,574.753
SCCO,Supreme Cable Manufacturing & ,8425.0,1987.1251
SCMA,Surya Citra Media Tbk.,206.0,577.1118
SCNP,Selaras Citra Nusantara Perkas,242.0,558.8601
SCPI,Organon Pharma Indonesia Tbk.,29000.0,1401.6136
SDMU,Sidomulyo Selaras Tbk.,65.0,294.0067
SDPC,Millennium Pharmacon Internati,258.0,1483.3746
SDRA,Bank Woori Saudara Indonesia 1,565.0,529.5292
SEMA,Semacom Integrated Tbk.,147.0,584.70935
SFAN,Surya Fajar Capital Tbk.,1880.0,534.2692
SGER,Sumber Global Energy Tbk.,605.0,548.7391
SGRO,Sampoerna Agro Tbk.,2080.0,522.28656
SHID,Hotel Sahid Jaya International,2440.0,1439.9249
SHIP,Sillo Maritime Perdana Tbk.,920.0,418.2781
SICO,Sigma Energy Compressindo Tbk.,146.0,589.9006
SIDO,Industri Jamu dan Farmasi Sido,745.0,352.81927
SILO,Siloam International Hospitals,1275.0,346.29398
SIMA,Siwani Makmur Tbk,50.0,327.87476
SIMP,Salim Ivomas Pratama Tbk.,410.0,421.6183
SINI,Singaraja Putra Tbk.,1325.0,526.31274
SIPD,Sreeya Sewu Indonesia Tbk.,1400.0,994.0827
SKBM,Sekar Bumi Tbk.,372.0,366.05957
SKLT,Sekar Laut Tbk.,1950.0,1226.9297
SKRN,Superkrane Mitra Utama Tbk.,452.0,491.56418
SKYB,Northcliff Citranusa Indonesia,51.0,466.60208
SLIS,Gaya Abadi Sempurna Tbk.,270.0,531.6441
SMAR,Smart Tbk.,4980.0,1301.0216
SMBR,Semen Baturaja (Persero) Tbk.,388.0,342.11682
SMCB,Solusi Bangun Indonesia Tbk.,1400.0,2374.9055
SMDM,Suryamas Dutamakmur Tbk.,174.0,1020.3709
SMDR,Samudera Indonesia  Tbk.,1840.0,774.3474
SMGR,Semen Indonesia (Persero) Tbk.,7075.0,1441.4081
SMKL,Satyamitra Kemas Lestari Tbk.,246.0,517.52985
SMKM,Sumber Mas Konstruksi Tbk.,630.0,507.8766
SMMA,Sinarmas Multiartha Tbk.,12150.0,1224.8741
SMMT,Golden Eagle Energy Tbk.,640.0,890.7724
SMRA,Summarecon Agung Tbk.,560.0,1428.8737
SMRU,SMR Utama Tbk.,50.0,479.70468
SMSM,Selamat Sempurna Tbk.,1545.0,1021.23535
SNLK,Sunter Lakeside Hotel Tbk.,695.0,573.8818
SOCI,Soechi Lines Tbk.,176.0,371.4798
SOFA,Boston Furniture Industries Tb,28.0,478.7176
SOHO,Soho Global Health Tbk.,5600.0,561.6283
SONA,Sona Topas Tourism Industry Tb,4400.0,1305.0507
SOSS,Shield On Service Tbk.,400.0,493.75134
SOTS,Satria Mega Kencana Tbk.,320.0,505.31503
SPMA,Suparma Tbk.,482.0,1145.7949
SPTO,Surya Pertiwi Tbk.,545.0,478.6827
SQMI,Wilton Makmur Indonesia Tbk.,59.0,507.71066
SRAJ,Sejahteraraya Anugrahjaya Tbk.,600.0,365.5997
SRIL,Sri Rejeki Isman Tbk.,146.0,427.05444
SRSN,Indo Acidatama Tbk,52.0,1271.5518
SRTG,Saratoga Investama Sedaya Tbk.,2360.0,434.71362
SSIA,Surya Semesta Internusa Tbk.,260.0,959.6784
SSMS,Sawit Sumbermas Sarana Tbk.,1510.0,388.91107
SSTM,Sunson Textile Manufacture Tbk,790.0,923.0171
STAA,Sumber Tani Agung Resources Tb,1025.0,612.00885
STAR,Buana Artha Anugerah Tbk.,139.0,418.3245
STTP,Siantar Top Tbk.,7600.0,1008.3546
SULI,SLJ Global Tbk.,142.0,1189.9426
SUPR,Solusi Tunas Pratama Tbk.,34000.0,420.42047
SURE,Super Energy Tbk.,1720.0,492.6552
SWAT,Sriwahana Adityakarta Tbk.,50.0,477.69006
SWID,Saraswanti Indoland Developmen,100.0,562.5366
TALF,Tunas Alfin Tbk.,312.0,337.6366
TAMA,Lancartama Sejati Tbk.,50.0,528.51483
TAMU,Pelayaran Tamarin Samudra Tbk.,50.0,436.36945
TAPG,Triputra Agro Persada Tbk.,610.0,588.2522
TARA,Agung Semesta Sejahtera Tbk.,50.0,325.48697
TAXI,Express Transindo Utama Tbk.,50.0,291.18027
TAYS,Jaya Swarasa Agung Tbk.,540.0,596.363
TBIG,Tower Bersama Infrastructure T,2130.0,468.6388
TBLA,Tunas Baru Lampung Tbk.,690.0,795.0342
TBMS,Tembaga Mulia Semanan Tbk.,1575.0,1439.8318
TCID,Mandom Indonesia Tbk.,6225.0,1245.5697
TCPI,Transcoal Pacific Tbk.,7600.0,510.6595
TDPM,Tridomain Performance Material,119.0,522.34625
TEBE,Dana Brata Luhur Tbk.,805.0,527.21857
TECH,Indosterling Technomedia Tbk.,3300.0,544.21747
TELE,Tiphone Mobile Indonesia Tbk.,50.0,377.38248
TFAS,Telefast Indonesia Tbk.,3480.0,523.22174
TFCO,Tifico Fiber Indonesia Tbk.,670.0,2156.2615
TGKA,Tigaraksa Satria Tbk.,7000.0,1463.4166
TGRA,Terregra Asia Energy Tbk.,50.0,444.87137
TIFA,KDB Tifa Finance Tbk.,430.0,394.80215
TINS,Timah Tbk.,1145.0,1087.576
TIRA,Tira Austenite Tbk,408.0,1184.3914
TIRT,Tirta Mahakam Resources Tbk,50.0,787.2169
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,6975.0,1502.3651
TLDN,Teladan Prima Agro Tbk.,585.0,610.66364
TLKM,Telkom Indonesia (Persero) Tbk,3710.0,1529.5162
TMAS,Temas Tbk.,2030.0,534.4077
TMPO,Tempo Intimedia Tbk.,117.0,683.3416
TNCA,Trimuda Nuansa Citra Tbk.,282.0,464.85968
TOBA,TBS Energi Utama Tbk.,545.0,351.0761
TOOL,Rohartindo Nusantara Luas Tbk.,73.0,605.47235
TOPS,Totalindo Eka Persada Tbk.,50.0,440.93048
TOTL,Total Bangun Persada Tbk.,304.0,480.5961
TOTO,Surya Toto Indonesia Tbk.,264.0,1372.8783
TOWR,Sarana Menara Nusantara Tbk.,1155.0,476.84998
TOYS,Sunindo Adipersada Tbk.,68.0,556.42084
TPIA,Chandra Asri Petrochemical Tbk,2340.0,525.02435
TPMA,Trans Power Marine Tbk.,456.0,317.85553
TRAM,Trada Alam Minera Tbk.,50.0,440.6809
TRGU,Cerestar Indonesia Tbk.,220.0,608.0204
TRIM,Trimegah Sekuritas Indonesia T,218.0,787.50006
TRIN,Perintis Triniti Properti Tbk.,288.0,499.90265
TRIS,Trisula International Tbk.,228.0,342.66357
TRJA,Transkon Jaya Tbk.,232.0,532.16003
TRST,Trias Sentosa Tbk.,715.0,1455.329
TRUE,Triniti Dinamik Tbk.,50.0,536.9444
TRUK,Guna Timur Raya Tbk.,96.0,461.63605
TRUS,Trust Finance Indonesia Tbk,426.0,597.47485
TSPC,Tempo Scan Pacific Tbk.,1400.0,1145.7313
TUGU,Asuransi Tugu Pratama Indonesi,1535.0,500.32898
TURI,Tunas Ridean Tbk.,1560.0,1102.8519
UANG,Pakuan Tbk.,865.0,554.9604
UCID,Uni-Charm Indonesia Tbk.,1120.0,549.89954
UFOE,Damai Sejahtera Abadi Tbk.,206.0,573.9675
ULTJ,Ultra Jaya Milk Industry & Tra,1440.0,1488.5944
UNIC,Unggul Indah Cahaya Tbk.,9925.0,1506.1478
UNIQ,Ulima Nitra Tbk.,63.0,567.41693
UNIT,Nusantara Inti Corpora Tbk,316.0,412.38495
UNSP,Bakrie Sumatera Plantations Tb,134.0,1494.3634
UNTR,United Tractors Tbk.,24975.0,1617.0598
UNVR,Unilever Indonesia Tbk.,4760.0,2312.3357
URBN,Urban Jakarta Propertindo Tbk.,157.0,464.42303
UVCR,Trimegah Karya Pratama Tbk.,118.0,495.8237
VICI,Victoria Care Indonesia Tbk.,488.0,576.3337
VICO,Victoria Investama Tbk.,148.0,370.3491
VINS,Victoria Insurance Tbk.,133.0,413.04987
VIVA,Visi Media Asia Tbk.,50.0,369.52368
VOKS,Voksel Electric Tbk.,136.0,1388.2408
VRNA,Verena Multi Finance Tbk.,99.0,460.49728
WAPO,Wahana Pronatural Tbk.,212.0,677.9611
WEGE,Wijaya Karya Bangunan Gedung T,139.0,461.4868
WEHA,WEHA Transportasi Indonesia Tb,107.0,416.87244
WGSH,Wira Global Solusi Tbk.,140.0,505.0776
WICO,Wicaksana Overseas Internation,378.0,1160.5968
WIFI,Solusi Sinergi Digital Tbk.,131.0,566.984
WIIM,Wismilak Inti Makmur Tbk.,630.0,389.19772
WIKA,Wijaya Karya (Persero) Tbk.,765.0,458.7163
WINR,Winner Nusantara Jaya Tbk.,50.0,562.5507
WINS,Wintermar Offshore Marine Tbk.,282.0,384.91608
WIRG,WIR ASIA Tbk.,109.0,585.6358
WMPP,Widodo Makmur Perkasa Tbk.,71.0,594.8749
WMUU,Widodo Makmur Unggas Tbk.,62.0,576.2991
WOMF,Wahana Ottomitra Multiartha Tb,256.0,572.3252
WOOD,Integra Indocabinet Tbk.,342.0,462.74142
WOWS,Ginting Jaya Energi Tbk.,50.0,525.33563
WSBP,Waskita Beton Precast Tbk.,95.0,431.4413
WSKT,Waskita Karya (Persero) Tbk.,350.0,326.73553
WTON,Wijaya Karya Beton Tbk.,184.0,348.54004
YELO,Yelooo Integra Datanet Tbk.,56.0,501.23138
YPAS,Yanaprima Hastapersada Tbk,650.0,438.9165
YULE,Yulie Sekuritas Indonesia Tbk.,2230.0,554.18787
ZBRA,Dosni Roha Indonesia Tbk.,540.0,1324.5865
ZINC,Kapuas Prima Coal Tbk.,50.0,451.93057
ZONE,Mega Perintis Tbk.,1205.0,506.08472
ZYRX,Zyrexindo Mandiri Buana Tbk.,310.0,563.02673
